Non-Name Words
Pine Grove
Joyce Cy
Founder’s Lesson
Happy Land
Tonya Newell
Celtic World’
West Country
Michelle Holder
New Gloucester
Ökumenisches Forum HafenCity
Four Mile Community
UK Singers
Holy Trinity
Van Horn
Alban’s Chapel
Deborah Koons
Hazel Cagle
His Blessings
Hannah Haynes
Twenty Year Club
Lucas Cornett
Detweiler Meeting House
Roberta Lacefield
Pond Square
Uppsala All-Day
Bobbi Reed
Jordan Walters
Benjamin Crawford
Higher Ground-Darrell Swarens
Debbie Rich
Exeter Friends
Mount Pleasant Home
The Union
Friends Meeting House
Great Roll Call
USA. Ruth
The Danby
The Chairladies
Charlottesville Friends Meeting House
USA. She
Old Chapel
Dana Borrelli
Lucy Bachmeyer
BBQ Cooks
Ginny Klein
Oak Grove
Mandelle Hall
Funeral Anthem
Pam Wilson
Parting Hand
Birmingham Post Herald
James River
Bristol Singers
Katie Maher
Lucy Rutledge
Friday Evening
Wakefield Family
Harp Composition
Meeting House
The Arranger
Team Tunesmith I--SH Composition
Harp Singers Founders
Michele Jackson
Christina Howard
Maidencreek Friends
Ladegården
Lutheran Church
The Rock Ranch
Roll Call
Lloyd’s Hymnal
Pleasant Hill Church
But The Blood Of Jesus
Lloyd Hymnal
Holly Springs
Shoal Creek
James Edition
Team Tunesmith
Fin Barre’s Cathedral
Social Harp
Spiritual Wisdom
Sweetwater Chapel
Ida Noyes Hall
Becca Clay
James Caufield
Cindy Marshall
The Texas
Larry Hogan
Scots-Irish
Keith Dunlap
King Henry VIII
On Sunday
Peterson Park
The Sherbrooke
Julie Smith
Julie Edwards
Leanne Watson
Ways Mills Community
Becky Lombard
U.K.
Carol Barber
British Columbia
In Cagle’s
Old Bishop’s Palace
Scottish West Coast Singers
Berkshire Foothills All-Day
Eve’s Franciscan Friary
Harp Heritage
Thao Hoang
Sally Lackman
Feed Theatre
Town Hall
Botley Women’s Institute Hall
Boiling Springs
Kathleen Patrick
Lynn McNutt
Folk Festival
New Brunswick
Light At The River
Beat Time
Poland Springs Inn
Columbus Alternative High
Star Spangled Banner
Harriet Beecher Stowe
Czech Republic
NYS Conventions
William Walker
Team Tunesmith I--Sacred Harp Composition
At Home
Come Away
Esther Rogers
Immanuel Lutheran Church
D.C.
Isolda Heavey
Julie Thoma
Berrien Springs
Kristen Haff
Performing Arts
Harp Rudiments
Laurel Cramer
USA. To
The Wallowa Valley All-Day
Jimmy Thompson
Casey Glen
Southeastern Pennsylvania
Explorer Group Two
Died For Me
New Hope Church
Phillip Lee III
Taylor Kennedy
Heritage Day
The Silverton Grange All-Day
Missouri Harmony
Bobby Power
Chick-Fil-A
Susan McGraw
James Vaughn
J.L. White
Suny Potsdam
E.L. King
Mary’s Parish Centre
Park Anniversary
West Georgia Music Department
Saint Thomas
Holy Comforter Lodge
Oakhurst Worship
Biennial Bus
Boys Youth
Georgia Traveler TV
Cathy Schubert
The Dallas
Councillor Perry
Joseph Blass
M. Patrick Graham
Low Ropes
Eva Adcock
Harp Singers
Sabbathday Lake Shaker Village
Secretaries--Fiona Nugent
New England Conventions
Ora Martin
Shenandoah Valley
Amber Robinson
USA. He
Shelbie Presnell
The Chicago
Leah Edwards
Lakeview Lodge--Nathan Rees
The Rogers
Kelly West
Steve Johnson
The Shenandoah Harmony
Layla Slaughter
Creel Family
Zion Hill
Grace Church
Pulaski Park Fieldhouse
See Me Now
Christian Harmony
West Coast
Desiree Malone
The Bristol
Kansas City-Lawrence
This Levitical
WECP
New Orleans
Karen Hamilton
Lutheran Table Grace
Scottish Snap
Carol Steinfeld
Sandra Squires
Pioneer Valley All-Day
Norway Hall Cookie Ladies
Life’s Journey
Ana Brown
Gary Holmes
Vestal New York
McCool Family Children
East Anglia
Laura Weber
Chapter III
The Landing
Jones Chapel
Los Angeles
The Rock
Charlie Robinson
Dean Street
John Moore
Gary Hamilton
The Gilmore Family
Diving-Bell
Larry Harris
The Roots
Dwight Pelfrey
Founders Lesson
Plymouth Adventure
One They Are Falling Asleep
Karen Wigginton
Laura Marken
Nate Schultz
Potomac River
Walnut Hills Christian Church
Jim Springer
The Cork Singers
Harp Museum
Barry Pidcock
Kentucky Harmony
The Montréal
Ben Hannen
Marjorie Richard
Martha Channon
The Munich
Steve Green
Web Sink
Wednesday June
Harp Day
Linda Schissler
Mid-Michigan
Antioch-Shiloh
Beverly Weatherington
Donna Callahan
Andrew Fida
Scottish East Coast Singers
Brother Phillip Starnes
Stacy Wootten
The Hat Parade--Betty Shepherd
At Rosslyn Chapel
The Great Roll Call
Warm Springs
James’ Original
The Ladykillers
Fine Arts
Team Tunesmith I-Sacred Harp Composition
Faith Lutheran Church
Shirley Tidwell
Kenneth Robinson
The Youth Boys
The Saturday
South Africa
All-Day
Part III
Fellowship Hall
Berkshire Foothills All Day
Salvation Army Citadel
Jubilee Hall
God’s Promise
The Beech Tree
USA. Vicky
Easter Sunday
Rachel Reeves
Thousand Charms
West Georgia
Exeter Friends Meeting
The Cullman
Randy Brothers
Ingrid Vanderstoep
Chicago Children’s Choir
Tell Me Of The Angels
The Jamulus Singers
Kilbourn Park Fieldhouse
Vermont All-Day
Congressman Aderholt
Steve Christian
The Geneva All-Day
Home Counties
Lakeview Lodge--David Wright
Fox Pettinotti
Georgian Harmony
New York
Suzanne Sanford
Sonny Frank
The Coweta
South Carolina Hall
The Tuesday Night Singers
Rocky Mount
Unitarian Universalist
Nick King
Eve Grace Horsely
Paul’s Church Hall
Committee--Paula Oliver
Great Britain
Christian Church
Vine Street
Nancy Wood
David Ross
Bay Area
Tuesday June
Junior Finance
Phil Lehman
Doug Collett
Piccolo Spoleto
East Coast
New England
Paste Magazine
Charlottesville Friends
Pat Rushton
But The Blood
D. Harper
Eric Thomas
Part II
Mark Bowman
Dutchified German Spirituals
Omaha Nebraska
Wayne Keeton
Ed Norman
Romans Chapter
Central Ontario All-Day
Yellow Springs
Camp Lee
Polly Griffin
New Jersey
Delta East
Friday Night
Carolina Campus
Shakespeare’s Sonnet
Fin Barre’s Cathedral Hall
At Doddridge Chapel
New Harp
Rachel Sutton
By And By
Melodics Chapter III
Chapter XI
U.S.
Nancy Chester
Day That Will Be
Laura McMurray
Howard Godsey
The Locating
West Yorkshire
Rebecca Schissler
Olympia All-Day
Olivet Congregational Church
Julia Edwards
Lost Tribe
Quebec Lodge
Highgate URC Chapel
Cindy Howrey
South Georgia
West Gallery Quire
Donna Vinyard
Fort Worth Star-Telegram
Holy Land
Lord Jesus Christ
Goodshaw Old Chapel
George Terrell Bounds
David Rivers
Larry Humber
Dailey Hymn Book
Will Sing With The Angels
Skatten Oslo
Cooper Book
Prague All-Day
Vaughan Quartet
The Founders’ Lesson
Pam McClain
Pitts Theology
Monday Club
Village Harmony Camp
Carolina Christian Harmony
Lisa Crafton
The Founder’s Lesson
Opal Johnston
The Pontotoc Winter
Dublin Singers
Santa Cruz
Camp Lee Staff
Jonathan Kihyet
Children’s Lesson
Verlie McDaniel
Samuel Cordova
John Blake
Young People’s
Celestial Watering
Centre Jean Richepin
King And
Antioch Church
Cliff Clayton
Eastern Townships
Union Choral Harmony
Phil Conrad
Robin Oliver
Karen DNC
Hymn Tune
Hyde Park Chicago Children’s Choir
Paul Singers
Barbara Willard
Ann Fox
Park All-Day
Youth Boys
Camp McDowell
Randy Simpkins
Glen Ridge
Explorer Group One
John Hale
Mark Horton
South Knoll
Gracie Patton
Oxford All-Day
Terre Haute
Twin Towers
Karen Turner
Golden Gate Double All-Day
Immanuel’s Ground Quire
Pennsylvania Dutch
Templars Hall
Donna Durden
Youth Girls--The
All Day
Lowell Mason
Bob Schofield
Lakeview Lodge--Brenda Dunlap
Jason Cole
Independence Day
Devout Life
Silverdale Cumberland
Us Sing
Jennifer Betz
Saint Paul
The Sunday Session
Bronwen Erikson
Mary’s Lodge
Susan Liddle
Ways Mills
Ellie Hamann
Central Ontario
Hearst Hall
Sussex Singers
Iambic--C.M.
The IV
Logan Avondale VFW
South Dakota
Jan May
Teresa Saylors
DeMars
Youth Boys--The
Jill Coyne
Hong Kong
Austin Latimer
London Olympics
The Morton All-Day
Becky Dennison
Wakefield Descendants
Dynamics Chapter V. The
Gray Hamilton
Sir Henry Newbolt’s
Trinity Church
Alice Haldane
At Old Temple Kirk
Debra Scott
Ceil Morrison
Uncle Bob Burnham’s
Explorers’ Group
Sandra East
Montreal Singers
Cork Double Half Day
The Introductory Lesson
Cedar Creek
Harp Singing
Colorado Singers
Way’s Mills
John Detwiler
Boundless God
Girl Scouts
Teachers Farewell
Trudy Mayo
Depths We Cry
The Trumpet
Scared Harp
S.L. Wakefield
USA. Derek
Vivian Ivey
U. S.
Weary Traveler
The Levites
All-California
The Wakefield Singers
Hannah Baker
Sharon Frost
Amy Armstrong
Vivian McDonald
P.M.
San Diego
S. W. Everette
CJ McElroy
Youth Girls
Jennie Broush
Jack Kerr
Our Savior
Sabbathday Lake Shaker
USA. Chris
Dunmore East
